configuration_id,architecture,quantization,runtime,threads,trial_median_mean_ms,trial_median_sd_ms,trial_median_cv,trial_median_bootstrap95_low_ms,trial_median_bootstrap95_high_ms,trial_p95_mean_ms,trial_p95_sd_ms,trial_p95_bootstrap95_low_ms,trial_p95_bootstrap95_high_ms,trial_throughput_mean_images_per_s,trial_throughput_sd_images_per_s,observation_count
mobilenet_v3_small_float16__builtin_cpu__4t,mobilenet_v3_small,float16,builtin_cpu,4,364.8085,1.2897627688843116,0.0035354515283616,363.8965,365.7205,400.112975,19.04121889116478,386.6488,413.57715,2.728151955994448,0.0389271757654779,200
mobilenet_v3_small_float16__xnnpack_cpu__1t,mobilenet_v3_small,float16,xnnpack_cpu,1,355.25125,0.5462399884665935,0.0015376159505887,354.865,355.6375,368.80545,1.2900456115967152,367.89325,369.71765,2.828291007414617,0.0088958040984373,200
mobilenet_v3_small_float16__xnnpack_cpu__2t,mobilenet_v3_small,float16,xnnpack_cpu,2,349.5725,8.56801286763737,0.0245099739471422,343.514,355.631,367.0457,4.165636758648066,364.10015,369.99125,2.861178468864121,0.0524990211157431,200
mobilenet_v3_small_float16__xnnpack_cpu__4t,mobilenet_v3_small,float16,xnnpack_cpu,4,359.22,0.1315218613006827,0.0003661317891561,359.127,359.313,535.3949749999999,162.78273389890356,420.2902,650.49975,2.61770209383666,0.1795134530683058,200
mobilenet_v3_small_float32__builtin_cpu__1t,mobilenet_v3_small,float32,builtin_cpu,1,356.25825,3.417093520083978,0.0095916193381738,353.842,358.6745,375.62515,5.295381262949835,371.88075,379.36955,2.804154923405676,0.0199080080446043,200
mobilenet_v3_small_float32__builtin_cpu__2t,mobilenet_v3_small,float32,builtin_cpu,2,361.8805,2.184252847085204,0.006035840138071,360.336,363.425,381.283925,8.348703699452347,375.3805,387.1873499999999,2.7544323518115426,0.0218987941457847,200
mobilenet_v3_small_float32__builtin_cpu__4t,mobilenet_v3_small,float32,builtin_cpu,4,357.2415,1.5754339084836342,0.0044099969026096,356.1275,358.3555,376.857425,4.495678848766881,373.6785,380.03635,2.803683879875618,0.0016676607086263,200
mobilenet_v3_small_float32__xnnpack_cpu__1t,mobilenet_v3_small,float32,xnnpack_cpu,1,354.78275,1.116168054102979,0.0031460606641754,353.9935,355.572,373.92095,6.754708237962643,369.14465,378.69725,2.8217559664046363,0.0057591769969637,200
mobilenet_v3_small_float32__xnnpack_cpu__2t,mobilenet_v3_small,float32,xnnpack_cpu,2,353.60325,2.1803637597886896,0.0061661304294818,352.0615,355.145,371.781625,1.540608899510176,370.69225,372.871,2.8295925177590275,0.0048002233265835,200
mobilenet_v3_small_float32__xnnpack_cpu__4t,mobilenet_v3_small,float32,xnnpack_cpu,4,354.77975000000004,4.102279991053738,0.0115628921635288,351.879,357.6805,373.035525,9.199565289254169,366.53045,379.5406,2.828411379048762,0.0365646492352284,200
mobilenet_v3_small_full_int8__builtin_cpu__1t,mobilenet_v3_small,full_int8,builtin_cpu,1,152.7835,3.416032859912223,0.0223586503772476,150.368,155.199,167.47379999999998,3.340655277037727,165.11159999999998,169.83599999999998,6.612643204078845,0.1080789561102375,200
mobilenet_v3_small_full_int8__builtin_cpu__2t,mobilenet_v3_small,full_int8,builtin_cpu,2,150.28375,0.5709887258081403,0.0037994042989221,149.88,150.6875,162.34404999999998,2.0376696113452706,160.9032,163.7849,6.682191011465912,0.0174667181418949,200
mobilenet_v3_small_full_int8__builtin_cpu__4t,mobilenet_v3_small,full_int8,builtin_cpu,4,146.76675,1.129603082945487,0.0076965871557794,145.96800000000002,147.5655,164.586725,1.726224429571657,163.3661,165.80735,6.815514788742767,0.116545814954815,200
